course_name,program,acronym,hours,year,comments
Sistemas Inteligentes,,,,2025-26,
Open Science and AI in Research Software Engineering,,,24,2025-26,"Esteban participa con 12, Oscar con 4"
"Developing Open, Interoperable Semantic Resources",,,28,2025-26,
Data Science Seminars,,,,2025-26,
Actividades Formativas: Poster,,,,2025-26,
Open Data and Knowledge Graphs,,,,2025-26,
"Semantic Web, Linked Data and Knowledge Graphs",,,,2025-26,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,Hours per year,,,
,,2025-26,0,,
,,2024-25,,,
,,2023-24,,,
,,2022-23,,,
,,2021-22,,,
,,2020-21,,,
